,time_initialization,test_cost,test_accur,train_cost,time_train_this_epoch,train_accur,time_train_total,time_read_data_this_epoch,time_read_data_total,epoch_interrupt_received,training_finished
0,3.6860809326171875,17.518308639526367,0.0014833860759493672,,,,,,,,
391,,1.399893045425415,0.49683544303797467,1.8300601243972778,20.554702758789062,0.3841152492996372,20.554702758789062,1.4491052627563477,1.4491052627563477,,
782,,1.229344367980957,0.5646756329113924,1.3079785108566284,20.62856912612915,0.5376078963584607,41.18327188491821,1.498518705368042,2.9476239681243896,,
1173,,1.1230984926223755,0.604628164556962,1.1250649690628052,20.56330156326294,0.606965313329721,61.74657344818115,1.4522132873535156,4.399837255477905,,
1564,,1.050045132637024,0.6310324367088608,1.020721197128296,20.494128942489624,0.6432544756728364,82.24070239067078,1.444835901260376,5.844673156738281,,
1955,,0.981184184551239,0.6570411392405063,0.9359361529350281,20.60074806213379,0.6769461316983109,102.84145045280457,1.4330742359161377,7.277747392654419,,
2346,,0.9621562957763672,0.6702927215189873,0.8680447936058044,20.352885246276855,0.7008591751613276,123.19433569908142,1.4160969257354736,8.693844318389893,,
2737,,0.9617919325828552,0.6730617088607594,0.8111211061477661,20.380695581436157,0.71989689896936,143.57503128051758,1.4380788803100586,10.131923198699951,,
3128,,0.9709066152572632,0.6698971518987342,0.7590242028236389,20.390592336654663,0.7375639385884375,163.96562361717224,1.4220941066741943,11.554017305374146,,
3519,,0.968616247177124,0.6707871835443038,0.7218655943870544,20.342631578445435,0.7519061700691043,184.30825519561768,1.4214184284210205,12.975435733795166,,
3542,,,,,,,,,,True,
3910,,0.943933367729187,0.6841376582278481,0.672999918460846,20.65884280204773,0.7695532289078778,204.9670979976654,1.4614994525909424,14.436935186386108,,True
