,time_initialization,test_cost,test_accur,train_cost,time_train_this_epoch,train_accur,time_train_total,time_read_data_this_epoch,time_read_data_total,training_finished,training_finish_requested
0,2.372471809387207,7.126401901245117,0.0982001582278481,,,,,,,,
391,,1.5677201747894287,0.4544106012658228,1.9222618341445923,4.09189248085022,0.33594549235785404,4.09189248085022,1.4739580154418945,1.4739580154418945,,
782,,1.4310029745101929,0.5014833860759493,1.5075809955596924,4.338709592819214,0.4690457161735086,8.430602073669434,1.7008492946624756,3.17480731010437,,
1173,,1.3240832090377808,0.5385680379746836,1.3837369680404663,4.672128915786743,0.5161524936366264,13.102730989456177,2.1653077602386475,5.340115070343018,,
1564,,1.2798033952713013,0.5469738924050633,1.3053258657455444,4.718133926391602,0.5439218350536074,17.82086491584778,2.26462459564209,7.604739665985107,,
1955,,1.2482988834381104,0.5654667721518988,1.2467522621154785,4.444362163543701,0.5660565856777494,22.26522707939148,1.7850561141967773,9.389795780181885,,
2346,,1.2069998979568481,0.5841574367088608,1.2041189670562744,4.714111804962158,0.5815337275909951,26.979338884353638,2.320359230041504,11.710155010223389,,
2737,,1.1890015602111816,0.5882120253164557,1.1696748733520508,4.336748838424683,0.5933823529106882,31.31608772277832,1.5177814960479736,13.227936506271362,,
3128,,1.2088921070098877,0.5851463607594937,1.1418981552124023,4.516050338745117,0.6044237532121751,35.83213806152344,1.8148305416107178,15.04276704788208,,
3519,,1.158245325088501,0.6001780063291139,1.1180230379104614,4.3973548412323,0.6118726023017903,40.22949290275574,1.5596814155578613,16.60244846343994,,
3910,,1.1415793895721436,0.6029469936708861,1.1006476879119873,4.659661293029785,0.6179068094629157,44.88915419578552,2.1166648864746094,18.71911334991455,True,True
