,time_initialization,test_cost,test_accur,train_cost,time_train_this_epoch,train_accur,time_train_total,time_read_data_this_epoch,time_read_data_total
0,2.2833571434020996,4.013535499572754,0.10106803797468354,,,,,,
391,,1.4736469984054565,0.48941851265822783,1.7694950103759766,4.349798679351807,0.38184942461340626,4.349798679351807,1.4620544910430908,1.4620544910430908
782,,1.3261736631393433,0.5398536392405063,1.3955705165863037,4.387564420700073,0.5161205243576518,8.73736310005188,1.5836584568023682,3.045712947845459
1173,,1.2497601509094238,0.563192246835443,1.2763084173202515,4.67503023147583,0.5583359974119669,13.41239333152771,2.0726711750030518,5.118384122848511
1564,,1.2176157236099243,0.5732792721518988,1.2215782403945923,4.556960821151733,0.5777973145475168,17.969354152679443,1.632338523864746,6.750722646713257
1955,,1.1830745935440063,0.5917721518987342,1.1806057691574097,4.395167350769043,0.5940936700919704,22.364521503448486,1.6019983291625977,8.352720975875854
2346,,1.164461374282837,0.6036392405063291,1.1489272117614746,4.68822717666626,0.6033128196626063,27.052748680114746,2.0487582683563232,10.401479244232178
2737,,1.1629149913787842,0.6017602848101266,1.1219221353530884,4.38653826713562,0.6126158887620472,31.439286947250366,1.4560582637786865,11.857537508010864
3128,,1.1423394680023193,0.6060126582278481,1.0951249599456787,4.325521469116211,0.6234135229874145,35.76480841636658,1.4520108699798584,13.309548377990723
3519,,1.1132779121398926,0.6159018987341772,1.0754882097244263,4.23757266998291,0.6299432545061916,40.00238108634949,1.4295763969421387,14.739124774932861
